ticker,logoid,svg_file
NTRS,northern-trust,northern-trust.svg
IR,ingersoll-rand,ingersoll-rand.svg
CASY,casey-s-general-stores,casey-s-general-stores.svg
RJF,raymond-james,raymond-james.svg
WDAY,workday,workday.svg
CNC,centene,centene.svg
AEE,ameren,ameren.svg
ZTS,zoetis,zoetis.svg
EIX,edison-international,edison-international.svg
DTE,dte-energy,dte-energy.svg
EXR,extra-space-storage,extra-space-storage.svg
TDY,teledyne-technologies,teledyne-technologies.svg
CBOE,cboe-global-markets,cboe-global-markets.svg
KHC,kraft-heinz,kraft-heinz.svg
LVS,las-vegas-sands,las-vegas-sands.svg
EXPE,expedia,expedia.svg
CFG,citizens-financial-group,citizens-financial-group.svg
BIIB,biogen,biogen.svg
ATO,atmos-energy,atmos-energy.svg
TPL,texas-pacific-land-corporation,texas-pacific-land-corporation.svg
VEEV,veeva-systems,veeva-systems.svg
NRG,nrg-energy,nrg-energy.svg
Q,qnity-electronics,qnity-electronics.svg
CNP,centerpoint-energy,centerpoint-energy.svg
FE,firstenergy,firstenergy.svg
EL,estee-lauder,estee-lauder.svg
TPR,tapestry,tapestry.svg
VICI,vici-properties,vici-properties.svg
ES,eversource-energy,eversource-energy.svg
GEHC,ge-healthcare-technologies,ge-healthcare-technologies.svg
HAL,halliburton,halliburton.svg
RMD,resmed,resmed.svg
CINF,cincinnati-financial,cincinnati-financial.svg
FICO,fair-isaac,fair-isaac.svg
XYL,xylem,xylem.svg
JBHT,j-b-hunt,j-b-hunt.svg
PPL,ppl-units-15022029,ppl-units-15022029.svg
DXCM,dexcom,dexcom.svg
WRB,berkley-w-r-corp,berkley-w-r-corp.svg
AVB,avalonbay-communities,avalonbay-communities.svg
WTW,willis-towers-watson,willis-towers-watson.svg
ARES,ares-management,ares-management.svg
OTIS,otis-worldwide,otis-worldwide.svg
MTD,mettler-toledo-international,mettler-toledo-international.svg
FISV,fiserv,fiserv.svg
AWK,american-water-works,american-water-works.svg
ECHO,echostar,echostar.svg
DOV,dover,dover.svg
RF,regions-financial,regions-financial.svg
DGX,quest-diagnostics,quest-diagnostics.svg
EQR,equity-residential,equity-residential.svg
DG,dollar-general,dollar-general.svg
HUBB,hubbell,hubbell.svg
WSM,williams-sonoma,williams-sonoma.svg
PPG,ppg-industries,ppg-industries.svg
WST,west-pharmaceutical-services,west-pharmaceutical-services.svg
VRSK,verisk-analytics,verisk-analytics.svg
CPRT,copart,copart.svg
TROW,rowe-price,rowe-price.svg
KEY,keycorp,keycorp.svg
CHRW,ch-robinson,ch-robinson.svg
LH,laboratory-amer,laboratory-amer.svg
BG,bunge,bunge.svg
SYF,synchrony,synchrony.svg
VRSN,verisign,verisign.svg
L,loews,loews.svg
PHM,pulte-group,pulte-group.svg
INCY,incyte,incyte.svg
EXPD,expeditors,expeditors.svg
CPAY,fleetcor-technologies,fleetcor-technologies.svg
FDXF,fedex,fedex.svg
PFG,principal,principal.svg
SW,smurfit-kappa,smurfit-kappa.svg
CMS,cms-energy,cms-energy.svg
MRNA,moderna,moderna.svg
DOW,dow,dow.svg
DLTR,dollar-tree,dollar-tree.svg
